Address; Name; Size
"$0A516";"Hystherese für Temperaturschwelle für E-Box Lüfter Ansteuerung";"1x1"
"$04286";"delta-te-Schwelle fuer Nachspritzer-/ti-Reduktion erkannt";"1x1"
"$04000";"Dti-Schwellwert für ersten Nachspritzer";"1x1"
"$04002";"Dti-Schwellwert für zweiten Nachspritzer";"1x1"
"$0A242";"Hysterese Katalysatortemperaturregelschwelle für Kat warmhalten";"1x1"
"$0A243";"Betrag Differenztemperatur (tans-tmst) für Katheizen";"1x1"
"$0A192";"Bewertungsfaktor Zeitdekrementierung für Erreichen tmot-Einschaltschwelle LR";"7x1"
"$0A244";"Temperaturdifferenz zwischen Abstellen und Neustart für Freigabe Katheizen";"1x1"
"$0A199";"Abstand Motortemperaturmodell zur Starttemperatur";"1x1"
"$0A19A";"Abstand Motortemperaturmodell zur oberen Unplausibilitätsschwelle";"1x1"
"$09B8A";"Temperaturhysterese für elektrische Thermostatregelung";"1x1"
"$02362";"Differenz Motorabstelltemperatur - TMOT bei Start";"1x1"
"$0A549";"Hysterese für Einschaltschwelle";"1x1"
"$0A19B";"Delta Motortemp.zu Starttemp. f.Retrigg. Modelle (Blockheater-Erkennung)";"1x1"
"$0A54A";"Temperaturdiff.-Schwelle für die Prüfung, ob Zwangseinschaltung LR nötig (CARB)";"1x1"
"$01868";"Delta Motortemperaturschwelle für Erfüllung 'warm up cycle'";"1x1"
"$09CCF";"Offset Ansauglufttemperatur -> Umgebungstemperatur";"1x1"
"$098E2";"Offset Ansauglufttemperatur -> Umgebungstemperatur";"1x1"
"$093A0";"Delta-tv für Katalysator-Ausräumen (luftmassenabhängig)";"5x1"
"$093A5";"Delta-tv für Katalysator-Ausräumen (luftmassenabhängig) Bank2";"5x1"
"$05FFE";"Zeit für Nockenwellensollwinkel-Spätumschaltung";"1x1"
"$06816";"Toleranzband für NLP nach oben (inkl. Rü)";"1x1"
"$06818";"Toleranzband für NLP nach unten";"1x1"
"$0400E";"Offset für Hysterese bei Umschaltung auf verstärktes Signal von DK-Poti 1";"1x1"
"$0400E";"Offset für Hysterese bei Umschaltung auf verstärktes Signal von DK-Poti 1";"1x1"
"$0681A";"Delta eines Rampenschrittes bei der temp. UMA-Adaption";"1x1"
"$01C94";"Delta Motorübertemperatur-Schwelle";"1x1"
"$02331";"Zeit fürs Setzen der Zyklusflags der Funktionsüberwachungs-Diagnose";"1x1"
"$04262";"Schwelle für Kurzzeitanteil";"1x1"
"$00133";"Zulässige Spannungsabweichung zwischen PWG-Poti 1 und 2";"1x1"
"$042CC";"notweniger Spannungsweg von Poti 2 zur Bewegungserkennung";"1x1"
"$00134";"Zulässige Spannungsabweichung zwischen PWG Poti 1 und  2 im Teilgasbereich";"1x1"
"$00135";"Zulässige Spannungsabweichung zwischen PWG-Poti 1 und 2 im Vollgasbereich";"1x1"
"$042CE";"Spannungshysterese bei Entjitterung der PWG-Spannung";"1x1"
"$05DF6";"Delta Sondenspannung h. Kat zwischen Neu-und Altwert im Raster für Ri-Messung";"1x1"
"$067C6";"Delta Sondenspannung vor Kat zwischen Neu-und Altwert im Raster für Ri-Messung";"1x1"
"$05DF8";"Delta Sondensp. hinter Kat zwischen Neu-und 2 Altwerten für Sonden Sprungmessung";"1x1"
"$067C8";"Delta Sondensp. vor Kat zwischen Neu-und Altwert für Sonden Sprungmessung";"1x1"
"$06870";"Max. zul. Geschw.differenz bei Aquaplaningerkennung für große Geschw.";"1x1"
"$06872";"Max. zul. Geschw.differenz bei Aquaplaningerkennung für kleine Geschw.";"1x1"
"$0012E";"Zeit für Heilungsversuch der DV-E-Endstufe";"1x1"
"$06874";"Delta-Geschw. für obere FGR-Einschaltgeschwindigkeit";"1x1"
"$06876";"Delta-Geschw. für untere FGR-Einschaltgeschwindigkeit";"1x1"
"$0008D";"Hysterese fuer Geschwindigkeitsschwelle bei AR";"1x1"
"$042F8";"Delta-Geschwindigkeit für Änderungsbegrenzung";"1x1"
"$09B8B";"Hysterese Fahrzeuggeschwindigkeit für el. Thermostatregelung";"1x1"
"$06878";"Max. zul. Abweichung zw. Istgeschw. und Zielgeschw. bei FGR-Konstantfahrt";"1x1"
"$068D2";"Maximales Delta zw. Ist- und Zielgeschw. für Tip-Erlaubnis";"1x1"
"$01D09";"LLR: D-Verstärkung abh. von ngfil bei stehendem Fahrzeug";"6x1"
"$01D0F";"LLR: D-Verstärkung abh. von ngfil bei roolendem Fahrzeug";"6x1"
"$0001B";"delta Geschwindigkeitsschwelle für SA-Drehzahlanhebung";"1x1"
"$068D4";"Delta Geschwindigkeit für Rücksetzen Schubabschalteverbot vom FGR";"1x1"
"$068D6";"Delta Geschwindigkeit für Setzen Schubabschalteverbot vom FGR";"1x1"
"$0ADCE";"Delta Geschwindigkeit für Setzwertkorrektur nach Beschleunigen";"8x1"
"$0ADF0";"Delta Geschwindigkeit für Setzwertkorrektur nach Verzögern";"8x1"
"$068D8";"Änderung der Zielgeschwindigkeit bei Tip-Up oder Tip-Down";"1x1"
"$01D15";"LLR: D-Zündungsanteil abh. vom ngfil bei stehendem Fzg.";"6x1"
"$01D1B";"LLR: D-Zündungsanteil abh. vom ngfil bei rollendem Fzg.";"6x1"
"$0687A";"Max. zul. Abweichung zw. Zielgeschw. und Istgeschw. bei FGR-Konstantfahrt";"1x1"
"$068DA";"Maximales Delta zw. Ziel- und Istgeschw. für Tip-Erlaubnis";"1x1"
"$068DC";"Delta zw. Ziel- und Istgeschw. für Übergang von Konstantfahrt in Wiederaufnahme";"1x1"
"$068DE";"Delta zw. Ziel- und Sollgeschw. für Übergang in WA-Lande-Mode Bereich 1";"1x1"
"$068E0";"Delta zw. Ziel- und Sollgeschw. für Übergang in WA-Lande-Mode Bereich 2";"1x1"
"$068E2";"Delta zw. Ziel- und Sollgeschw. für Übergang in WA-Lande-Mode Bereich 3";"1x1"
"$00150";"Maximal zulässige Abweichung zwischen den DK-Winkeln aus Poti 1 und 2";"1x1"
"$00151";"Maximal zulässige Abweichung zwischen DK-Winkel aus Poti 1 und Ersatzwert";"1x1"
"$00152";"Maximal zulässige Abweichung zwischen DK-Winkel aus Poti 2 und Ersatzwert";"1x1"
"$05EEE";"max. Soll-/Ist-DK-Winkel-Abweichung als f(dwdks)";"5x1"
"$042C2";"Schwelle zur Aktivierung des I-Kleinanteils";"1x1"
"$0918C";"delta Winkel KR Abstand zur gemittelten Spätverstellung";"16x1"
"$02375";"WNW-Schwelle für fnwue-Umschaltung";"1x1"
"$0A646";"Delta für Hystherese Ansteuerung Abgasklappe";"1x1"
"$042D0";"Maximal zulässige Pedalwerterhöhung pro Rechenschritt im PWG-Ersatzbetrieb";"1x1"
"$00057";"Max. Wert des add. Dynamikvorhalts";"1x1"
"$00058";"Add. Spätverstellung pro Zyk. durch lern. Dyn.";"1x1"
"$00059";"Min. Wert des add. Dynamikvorhalts";"1x1"
"$0005A";"Abregelkonstante für Dynamikvorhalt";"1x1"
"$00476";"Deltazündwinkel aus Wirkungsgrad";"201x1"
"$0431D";"AGR-ratenabhängiger  Offset des optimalen ZW";"10x1"
"$04333";"Lambda-Abhängigkeit des optimalen Zündwinkels bezogen auf Lambda 1";"10x1"
"$04344";"temperaturabhängiger Offset des optimalen ZW";"5x1"
"$096D8";"Delta spätester Zündwinkel abhängig von Motortemperatur";"6x1"
"$0B8FF";"Delta Zündwinkel im Start";"6x1"
"$0001C";"Freigabe SA gangabhaengig";"1x1"
"$0019B";"ZW-Wirkungsgrad in Abhängigkeit von delta ZW";"128x1"
"$0019B";"ZW-Wirkungsgrad in Abhängigkeit von delta ZW";"128x1"
"$0019B";"ZW-Wirkungsgrad in Abhängigkeit von delta ZW";"128x1"
"$00226";"Lambda-Wirkungsgrad";"10x1"
"$0A459";"Anfangsfaktor Klimakompressor-Lastabregelung";"1x1"
"$01D76";"Faktor zur Absteuerung des Wandlermoments abhängig von nturb/nsol";"6x1"
"$02352";"Abregelfaktor Beschleunigungssignal bei Schlechtwegstrecken-Erkennung";"1x1"
"$0B13C";"Faktor Abstellzeit für Modelltemparatur";"5x1"
"$019DE";"Verstärkungsfaktor für Amplitude des Lambdareglers";"1x1"
"$019DF";"Verstärkungsfaktor für Amplitude des Lambdareglers bei Testerbetrieb";"1x1"
"$010BE";"Faktor für Verlängerung 1. KAT-Intervall, Aussetzererkennung";"1x1"
"$098E3";"Faktor fuer die Aufteilung Abgas-/Abgas-Rohrwandtemperatur";"7x1"
"$098EA";"Faktor fuer die Aufteilung Abgas-/Abgas-Rohrwandtemperatur Bank2";"7x1"
"$098F8";"Abgastemperaturaenderung abhaengig von der Fahrgeschwindigkeit";"6x1"
"$0956A";"Faktor Begrenzung Lerngeschwindigkeit für Beladung";"6x1"
"$09577";"Faktor ftefva-abhängige Lerngeschwindigkeit der Beladung";"6x1"
"$01D21";"LLR: Gewichtungsfaktor für D-Verstärkung";"6x1"
"$01D27";"LLR: Gewichtungsfaktor für D-Zündungsanteil";"6x1"
"$073B4";"Minimaler Höhenfaktor für DLDP";"1x1"
"$09C2D";"Temperaturfaktor für Drosselventildurchfluß";"8x1"
"$09583";"Kennlinie für drehzahlabhängigen Sollwert des Motorwirkungsgrades";"5x1"
"$093BA";"Faktor für I-Dynamik des Lambdareglers in Abhängigkeit von tmst";"4x1"
"$00069";"Gewichtungsfaktor zur Einrechnung Wiedereinsetzfaktor fwe in Fettfläche";"1x1"
"$05F9D";"Einzelzylinder Korrekturfaktor für EV 1 (Zündfolge)";"1x1"
"$05F9E";"Einzelzylinder Korrekturfaktor für EV 2 (Zündfolge)";"1x1"
"$05F9F";"Einzelzylinder Korrekturfaktor für EV 3 (Zündfolge)";"1x1"
"$05FA0";"Einzelzylinder Korrekturfaktor für EV 4 (Zündfolge)";"1x1"
"$05FA1";"Einzelzylinder Korrekturfaktor für EV 5 (Zündfolge)";"1x1"
"$05FA2";"Einzelzylinder Korrekturfaktor für EV 6 (Zündfolge)";"1x1"
"$05FA3";"Einzelzylinder Korrekturfaktor für EV 7 (Zündfolge)";"1x1"
"$05FA4";"Einzelzylinder Korrekturfaktor für EV 8 (Zündfolge)";"1x1"
"$0A3E6";"Höhenschwelle für Durchführung Diagnose Leerlaufsteller";"1x1"
"$0AA6A";"minimaler Höhenfaktor für DSLS";"1x1"
"$09CA0";"Ersatzwert für Höhe";"1x1"
"$0B1D4";"minimaler Höhenfaktor für Katheizen";"1x1"
"$01B0B";"Faktor Heißstart";"6x1"
"$01351";"Anhebungsfaktor für Filter Mehrfachaussetzererkennung";"1x1"
"$02353";"Filterfaktor Beschleunigungssignal bei Schlechtwegstrecken-Erkennung";"1x1"
"$01352";"Filterfaktor Mehrfachaussetzererkennung";"1x1"
"$00AF5";"Faktor Impuls hart";"16x1"
"$00B05";"Faktor Impuls weich";"16x1"
"$00B05";"Faktor Impuls weich";"16x1"
"$0A99A";"Kennlinie Kraftstoffanteil Tankentlüftung abh. von te / TEMIN";"5x1"
"$093B0";"Gewichtungsfaktor Sauerstoffspeicher in Abhängigkeit von avkatf";"5x1"
"$00034";"Korrekturfaktor für Klopferkennungsschwelle bei Lastdynamik";"1x1"
"$0005B";"Korrekturfaktor für Klopferkennungsschwelle bei Lastdynamikadaption";"1x1"
"$00035";"Korrekturfaktor für Klopferkennungsschwelle bei Drehzahldynamik";"1x1"
"$0A245";"Schwelle Abregelfaktor Katheizen";"1x1"
"$0B1E8";"Wichtungsfaktor Lambda-Soll für Katheizen";"8x1"
"$0B20A";"Wichtungsfaktor Lambda-Soll für Fzg. ohne Kat";"8x1"
"$0B22C";"Wichtungsfaktor Drehmomentreserve für Katheizen";"8x1"
"$01A62";"Teillastklopfschutzeinspritzfaktor";"8x1"
"$0A842";"Korrekturfaktor Kraftstoffversorgungssystem";"10x10"
"$009E0";"min.Korrekturfaktor schneller Massenstromabgleich";"1x1"
"$009E1";"max.Korrekturfaktor schneller Massenstromabgleich";"1x1"
"$0002A";"Initialisierungswert für Integrator Korrekturfaktor Massenstromabgleich";"1x1"
"$0002B";"Minimaler Korrekturfaktor langsamer Massenstomabgleich";"1x1"
"$0002C";"Maximaler Korrekturfaktor langsamer Massenstomabgleich";"1x1"
"$01B1E";"Faktor Kaltstart";"12x1"
"$04298";"Umrechnungsfaktor Einspritzzeit in Kraftstoffverbrauch";"1x1"
"$05F4E";"Filterfaktor Lernfilter der fuel-on/-off Adaption";"1x1"
"$0006A";"Faktor zur Bewertung Schwellwert integr. Fettfl. f. Abbruch Kat-Ausr. Pre/Main";"1x1"
"$0006B";"Fakt. zur Bewert. Schwellw. integr. Fettfl. f. Abbruch Kat-Ausr. Pre/Main, Bank2";"1x1"
"$0006C";"Faktor zur Bewertung des gemessenen gespeicherten Sauerstoffs";"1x1"
"$0006D";"";"1x1"
"$09071";"Verhältnis zur Freigabe der Adaption der NW-Verstellgeschwindigkeit";"1x1"
"$0969E";"Verstärkung Lastregler bei AT";"7x1"
"$096A5";"Verstärkung Lastregler bei AT, WK geschlossen";"7x1"
"$05E14";"Gewichtung des Adaptionswertes fkatei aus %TEB zur Anpassung der Reglerparameter";"5x1"
"$096AC";"Verstärkung Lastregler";"7x1"
"$00A3E";"Faktor für I-Dynamik des Lambdareglers in Abhängigkeit von tmot";"5x1"
"$01130";"Filterfaktor Laufunruhe-Filter";"8x1"
"$01353";"Schalter der Modifikation 1 der Laufunruhe-Berechnung";"1x1"
"$01354";"Schalter der Modifikation 2 der Laufunruhe-Berechnung";"1x1"
"$0B254";"Höhenkorrektur Drehmomentenreserve für Katheizen";"4x1"
"$0B266";"Höhenkorrektur Drehmomentreserve, ohne Kat";"4x1"
"$0A2A5";"tmot-Korrektur Drehmomentenresrve für Katheizen";"8x1"
"$0A2B6";"tmot-Korrektur Drehmomentreserve, ohne Kat";"8x1"
"$0A4BE";"Faktor zur Berechnung des Wandlermoments abh. von der Öltemperatur des Wandlers";"6x1"
"$09093";"Mittenfrequenz für Bandpaßfilter Klopfregelung";"1x1"
"$0A522";"Wichtungsfaktor Momentenbegrenzung bei Schaltgetriebeschutz";"8x1"
"$01DDA";"Faktor Korrektur maximales Moment bei VL";"1x1"
"$0006E";"Faktor zur Bewertung Schwellwert integr. Luftm. f. Abbruch Kat-Ausr. Pre/Main";"1x1"
"$0006F";"Faktor zur Bewert. Schwellw. integr. Luftm. f. Abbruch Kat-Ausr. Pre/Main, Bank2";"1x1"
"$0A4CF";"Korrekturfaktor E-Lüfter-Tastverhältnis aus vfzg";"10x1"
"$09715";"Faktor Korrektur Sekundärluftmasse";"1x1"
"$09716";"Faktor Korrektur Sekundärluftmasse, Bank 2";"1x1"
"$096DF";"minimaler Adaptionsfaktor Sekundärluftmasse";"1x1"
"$096E0";"maximaler Adaptionsfaktor Sekundärluftmasse";"1x1"
"$09717";"Schwelle Ausräumen der Sekundärluft beendet";"1x1"
"$0AA7C";"Dichtekorrektur der Sekundärluftmasse";"4x1"
"$09721";"tmot- Korrektur der Sekundärluftmasse";"8x1"
"$01D7C";"Faktor zwischen Raddrehzahl und Geschwindigkeit f(Radumfang)";"1x1"
"$09ECB";"Nachstartanhebung";"6x1"
"$01CDA";"Faktor für Solldrehzahlnachführung";"1x1"
"$09ED1";"Nachstartanhebung";"12x1"
"$0A401";"Faktor zur Wichtung der Solldrehzahl im Start";"6x1"
"$06D40";"Faktor zur Drehzahlstabilisierung durch Drehmoment";"6x1"
"$0009F";"Faktor zur Adaption des NW-Spätanschlages";"1x1"
"$0424C";"Verh. NW-Tastverh.-Änderung zu Regelfehler";"1x1"
"$00023";"Verh. Adaption NW-Verstellgeschw. zu Winkelabweichung";"1x1"
"$09072";"Verh. NW-Verstellgeschw. zu prop. Tastverh. im Neutralbereich";"1x1"
"$01A25";"Ansauglufttemperaturschwelle für DV-E-Federprüfung";"1x1"
"$01A26";"Motortemperaturschwelle für DV-E-Federprüfung";"1x1"
"$01A27";"Motordrehzahlschwelle für DV-E-Federprüfung";"1x1"
"$01A28";"DV-E-Federprüfung, Wartezeit in Prüfschritt 1";"1x1"
"$01A29";"DV-E-Federprüfung, Wartezeit in Prüfschritt 2";"1x1"
"$0A71C";"Faktor maximales Druckverhältnis mit Hauptlastsignal";"6x1"
"$0A736";"Faktor maximales Druckverhältnis mit Nebenlastsignal";"6x1"
"$047EE";"Drosselklappenkennlinie abh. von Fahrpedal nur f. Applik.";"16x1"
"$0A9A9";"Kennlinie stetige Grenzwertregelung (fr)";"8x1"
"$0A9B9";"Kennlinie Tankunterdruckbegrenzung (pte)";"6x1"
"$0958F";"Progression bei Spülratenaufsteuerung";"6x1"
"$0B0BC";"Delta-fra-Schwelle für Erkennung der eingeschwungenen Grundadaption";"1x1"
"$0B0BE";"untere Diagnoseschwelle des Korrekturfaktors frao";"1x1"
"$0B0C0";"obere Diagnoseschwelle des Korrekturfaktors frao";"1x1"
"$09508";"untere Begrenzung des Korrekturfaktors frao";"1x1"
"$09509";"obere Begrenzung des Korrekturfaktors frao";"1x1"
"$0950A";"untere reduzierte Schwelle des Korrekturfaktors frao";"1x1"
"$0950B";"obere reduzierte Schwelle des Korrekturfaktors frao";"1x1"
"$096B3";"Verstärkungsfaktor bei AT";"7x1"
"$096BA";"Verstärkungsfaktor bei AT, WK geschlossen";"7x1"
"$096C1";"Verstärkungsfaktor";"7x1"
"$0B0C2";"untere Diagnoseschwelle des Korrekturfaktors frau";"1x1"
"$0B0C4";"obere Diagnoseschwelle des Korrekturfaktors frau";"1x1"
"$0950C";"untere Begrenzung des Korrekturfaktors frau";"1x1"
"$0950D";"obere Begrenzung des Korrekturfaktors frau";"1x1"
"$0950E";"untere reduzierte Schwelle des Korrekturfaktors frau";"1x1"
"$0950F";"obere reduzierte Schwelle des Korrekturfaktors frau";"1x1"
"$0B83A";"obere Diagnoseschwelle für Lambdaregler";"1x1"
"$0B83C";"untere Diagnoseschwelle für Lambdaregler";"1x1"
"$09595";"fr-Schwelle für mögliches Rücksetzten Flip-Flop ""Hohe Beladung""";"1x1"
"$09AB8";"Multiplikativer Faktor für RIN Sollwert hinter Kat";"5x1"
"$09AC3";"Multiplikativer Faktor für RIN Sollwert hinter Kat";"5x1"
"$00A35";"Faktor für Bewertung alter Ri-Wert ohne Filter";"1x1"
"$00A35";"Faktor für Bewertung alter Ri-Wert ohne Filter";"1x1"
"$09ACE";"Multiplikativer Faktor für RIN Sollwert vor Kat";"5x1"
"$09AD9";"Multiplikativer Faktor für RIN Sollwert vor Kat";"5x1"
"$0007A";"Faktor zur Verstellung von fri und frp bei Fehler ""offenes TEV klemmt""";"1x1"
"$09DEC";"Faktor relative Kraftstoffmasse für Applikation";"1x1"
"$0B040";"Einspritzkorrektur bei RLFS";"11x1"
"$01DE1";"Korrekturfaktor max. Volumenstrom bei offener Drosselklappe";"5x1"
"$04272";"obere Regelbereichsgrenze";"1x1"
"$05E1A";"untere Regelbereichsgrenze";"1x1"
"$0ACCA";"obere Schwelle für Mittelwert des Lambdareglerfaktors";"1x1"
"$0ACCC";"untere Schwelle für Mittelwert des Lambdareglerfaktors";"1x1"
"$09CE3";"untere Diagnoseschwelle (short test)";"1x1"
"$09CE4";"obere Diagnoseschwelle (short test)";"1x1"
"$04274";"obere Regelbereichsgrenze bei Fehler ""offen klemmendes TEV""";"1x1"
"$05F50";"Filterfaktor Segmentzeit-Filter 1 der fuel-on/-off Adaption";"1x1"
"$05F52";"Filterfaktor Segmentzeit-Filter 2 der fuel-on/-off Adaption";"1x1"
"$073B6";"Fahrzeugbeschleunigungsschwelle für vorläufigen Abbruch DLDP";"1x1"
"$00086";"Faktor Steilheit Spülratenregelung in der Nähe des gewünschten Krafstoffanteils";"1x1"
"$02359";"Erkennungsschwelle Schlechtwegstrecke abhängig von Fz.geschwindigkeit";"4x1"
"$09596";"Schwelle Beladung für Abbruch TE-Phase";"1x1"
"$073B8";"Schwelle Beladungsgrad AKF zur Wiederholfreigabe AKF";"1x1"
"$09597";"Maximalwert der Beladung des AKF's";"1x1"
"$0B05A";"Schwelle Beladung für Unterbrechung TE-Phase für Diagnose Funktionen";"1x1"
"$0B05C";"Schwelle Beladung für Umschaltung auf Dauertankentlüftung";"1x1"
"$0B05C";"Schwelle Beladung für Umschaltung auf Dauertankentlüftung";"1x1"
"$09598";"Schwelle für Spülrate Tankentlüftung für Erkennung hohe Beladung";"1x1"
"$09599";"Schwelle für Faktor Tankentlüftung für Erkennung hohe Beladung";"1x1"
"$095A0";"Kennlinie Max. Spülrate abhängig vom Integral Massenstrom TE nach TE Stop";"5x1"
"$0B80E";"Beladungsschwelle Fettkorrektur für Prüfung i.O.";"1x1"
"$0B810";"Beladungsschwelle Magerkorrektur für Prüfung i.O.";"1x1"
"$0A24B";"tmot-Korrektur der Lambda-Bewertung bei Katheizen";"4x1"
"$0927C";"Startwert Faktor ÜK im Nachstart";"9x1"
"$095A5";"Faktor Umrechnung HC-Konzentration in Beladung ftead";"1x1"
"$00080";"Faktor Dichte der Luft";"1x1"
"$00081";"Faktor Umschaltung auf Kennfeld (wdk/n) zur Berechnung Massenstrom TEV";"1x1"
"$00002";"Gewichtungsfaktor VA im Nachstart";"1x1"
"$00AE2";"Kennlinie Faktor Vermischung Regeneriergas Tankentlüftung mit Frischluft";"6x1"
"$04282";"Faktor Verzögerung Regeneriergas zw. Drosselklappe und Einspritzventil";"1x1"
"$01A73";"Vollastklopfschutzeinspritzfaktor";"8x1"
"$00064";"Faktor Wandfilm Drehzahleinfluss";"1x1"
"$098FE";"Faktor für Wärmemengen bei Wiederholstart Abgas";"1x1"
"$098FF";"Faktor für Wärmemengen bei Wiederholstart Abgas Bank2";"1x1"
"$09900";"Faktor für Wärmemengen bei Wiederholstart Kat für Taupunktende";"1x1"
"$09901";"Faktor für Wärmemengen bei Wiederholstart Kat für Taupunktende Bank2";"1x1"
"$01A7C";"Wichtung Nachstart";"6x1"
"$01A82";"Wichtung Nachstart Umschaltschwelle";"6x1"
"$01A88";"Wichtung Nachstart Abregelung Bereich 1";"6x1"
"$01A8E";"Wichtung Nachstart Abregelung Bereich 2";"6x1"
"$09EDD";"Faktor für zündsynchrone Abregelung des Nachstartfaktors bei Heißstart Bereich 1";"6x1"
"$09EE3";"Faktor für zündsynchrone Abregelung des Nachstartfaktors bei Heißstart Bereich 2";"6x1"
"$09EE9";"Faktor für zündsynchrone Abregelung des Nachstartfaktors oberhalb Schwelle";"12x1"
"$09EF5";"Faktor für zündsynchrone Abregelung des Nachstartfaktors unterhalb Schwelle";"12x1"
"$07651";"Zündwinkel im Start";"6x1"
"$0B90D";"Zündwinkel im Start";"6x1"
"$01A49";"Max. zul. Gang bei FGR-Betrieb";"1x1"
"$01A4A";"Min. zul. Gang bei FGR-Betrieb";"1x1"
"$0A540";"Untere Höhenschwelle für Durchführung Tankentlüftungsdiagnose";"1x1"
"$01A1D";"Gesamt-Übersetzungsverhältnis";"8x1"
"$067DA";"Schwelle Erkennung Kupplung rutscht negativ";"7x1"
"$067E8";"Schwelle Erkennung Kupplung rutscht positiv";"7x1"
"$0AD0E";"Integratorwert Batterieladebilanz Hysterese Oberwert";"1x1"
"$0AD10";"Integratorwert Batterieladebilanz Hysterese Unterwert";"1x1"
"$0AD12";"Integrator -Initialisierungwert Batterieladebilanz";"1x1"
"$0AD14";"minimaler Integratorwert Batterieladebilanz";"1x1"
"$0AD16";"maximaler Integratorwert Batterieladebilanz";"1x1"
"$0A916";"Schwelle Fettfläche Kat-Ausräumen nach SA f(tkatm)";"5x1"
"$0A92C";"Schwelle Fettfläche Kat-Ausräumen nach SA f(tkatm2_w)";"5x1"
"$0AA6C";"min. Luftmassenfluß für Adaption/Zusatzdiagnose";"1x1"
"$0AA6E";"min. Luftmassenfluß für Kurztest";"1x1"
"$096E1";"minimale durchgeströmte Luftmasse";"1x1"
"$01B2A";"Luftmassenintegral Heißstart";"1x1"
"$0A942";"Schwellwert f(tkatm_w) integr. Luftmasse f. Abbruch Katalysator-Ausräumen";"5x1"
"$0A958";"Schwellwert f(tkatm2_w) integr. Luftmasse f. Abbruch Katalysator-Ausräumen";"5x1"
"$0A24F";"max. Verhältnisfaktor psum_w/mlsu für Einschaltung Katheizen";"1x1"
"$06CEB";"imlpr-Schwelle für Übergang auf Lambda-Katheizen";"8x1"
"$01A57";"Schwelle für integrierten Luftmassenstrom für Erkennung Benzin im Öl";"1x1"
"$0B0C6";"Maximale Integrationsschwelle für Fehlerfreigabe in DKVS (Tank leer)";"1x1"
"$0A2BE";"imlpr-Schwelle für Übergang auf Lambda-Abgas-Vorgabe";"1x1"
"$07536";"Schwellwert integr. Luftmasse f. Einschaltverzögerung LR nach SA";"1x1"
"$09729";"min. Verhältnisfaktor psum_w/mlsu für Einschaltung SLS";"1x1"
"$0972A";"max. Verhältnisfaktor psum_w/mlsu für Einschaltung SLS";"1x1"
"$0AA84";"Schwelle Luftmassenintegral für Anfang Sekundärluft im Abgas";"1x1"
"$0AA86";"Schwelle Luftmassenintegral für Ende Sekundärluft im Abgas";"1x1"
"$0AA70";"Schwelle Luftmassenintegral für Wiederholung Adaption";"1x1"
"$09CD0";"Schwelle integrierte Luftmasse für Bestimmung Umgebungstemperatur";"1x1"
"$0AB10";"Schwelle integrierte Luftmasse für Bestimmung Umgebungstemperatur aus TANS";"1x1"
"$07398";"obere Schwelle Drehzahlintegral bei TEV-Diagnose";"1x1"
"$0739A";"untere Schwelle Drehzahlintegral bei TEV-Diagnose";"1x1"
"$07A70";"max. Spannung für DK-Istwert-Poti 1 am unteren Anschlag für die Funktionsüberw.";"1x1"
"$07A71";"min. Spannung für DK-Istwert-Poti 2 am unteren Anschlag für die Funktionsüberw.";"1x1"
"$07A72";"Fehlertoleranzzeit für unteren DK-Anschlag im ungültigen Bereich f. d. Fktüberw.";"1x1"
"$00545";"Initialisierungswert für 'tanwrhf'";"5x1"
"$01D2D";"LLR: I-Verstärkung bei stehendem Fahrzeug";"8x1"
"$01D35";"LLR: I-Verstärkung bei rollendem Fahrzeug";"8x1"
"$0A547";"Segment- bzw. Messfensterbeginn bei Segmentzeiterfassung Aussetzererkennung";"1x1"
"$019E0";"Filterzeitkonstante für Signaldämpfung in Katbelastung";"5x1"
"$019E5";"Schwellwert für kleine Katalysatorbelastung";"1x1"
"$019E6";"normierter Mittelwert der Sondenamplitude";"1x1"
"$019E7";"Normierungsfaktor multiplikativ für Katbelastung";"1x1"
"$019E8";"Normierungsfaktor additiv für Katbelastung";"1x1"
"$019E9";"Max. Integrationsschwelle für Stoppbedingung";"1x1"
"$06794";"Maximale Katbelastungsschwelle für Stoppbedingung";"5x1"
"$0679E";"Katalysatorspeichergröße für Katbelastung";"1x1"
"$019EA";"Offset für Lambdaregelung leicht im fetten Bereich";"1x1"
"$067A0";"Verstärkungsfaktor für Regellagendifferenz";"1x1"
"$019EB";"Begrenzungsfaktor der Regellagenkorrektur";"1x1"
"$0B866";"Kennlinie über dlashkm, Bewertungsfaktor für I-Anteil in der LRHK";"10x1"
"$0B890";"Kennlinie über dlashkm, Bewertungsfaktor für I-Anteil in der LRHK, Bank 2";"10x1"
"$0B8BA";"Kennlinie über dlashkm, Bewertungsfaktor für P-Anteil in der LRHK";"10x1"
"$0B8E4";"Kennlinie über dlashkm, Bewertungsfaktor für P-Anteil in der LRHK, Bank 2";"10x1"
"$096D6";"Identifizierung des DLR-Parametersatzes zu DV-E-Typ";"1x1"
"$090EC";"Klopferkennungsschwelle bei Zylinderzähler 1";"16x1"
"$090FC";"Klopferkennungsschwelle bei Zylinderzähler 2";"16x1"
"$0910C";"Klopferkennungsschwelle bei Zylinderzähler 3";"16x1"
"$0911C";"Klopferkennungsschwelle bei Zylinderzähler 4";"16x1"
"$0912C";"Klopferkennungsschwelle bei Zylinderzähler 5";"16x1"
"$0913C";"Klopferkennungsschwelle bei Zylinderzähler 6";"16x1"
